step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,PAYMENT,660.52,C755328698,35451.0,34790.48,M7548983,0.0,0.0,0,0
7,PAYMENT,7906.61,C1264384309,0.0,0.0,M650601476,0.0,0.0,0,0
8,PAYMENT,374.32,C1339537304,0.0,0.0,M1702568569,0.0,0.0,0,0
8,PAYMENT,1285.31,C170873574,10913.0,9627.69,M865304850,0.0,0.0,0,0
8,PAYMENT,3237.48,C662706285,0.0,0.0,M1834739651,0.0,0.0,0,0
8,DEBIT,3342.41,C300780867,3009.0,0.0,C179481608,50145.0,85007.07,0,0
8,PAYMENT,4380.78,C1403903673,0.0,0.0,M1950779148,0.0,0.0,0,0
8,PAYMENT,8963.11,C324354535,16626.0,7662.89,M127871858,0.0,0.0,0,0
8,PAYMENT,14743.21,C115149467,1371621.89,1356878.68,M825599567,0.0,0.0,0,0
8,CASH_OUT,15808.02,C1311336999,0.0,0.0,C485423874,73507.28,89315.3,0,0
8,PAYMENT,16693.07,C772345783,10200.0,0.0,M2111683444,0.0,0.0,0,0
8,CASH_OUT,24572.83,C742302380,0.0,0.0,C893953614,51573.0,514119.92,0,0
8,CASH_OUT,35025.56,C1821409160,0.0,0.0,C1323741703,106238.48,1966850.36,0,0
8,CASH_OUT,42708.95,C2072956880,0.0,0.0,C803368825,176264.03,0.0,0,0
8,CASH_OUT,57741.74,C626314803,0.0,0.0,C1171953426,149614.0,21918.94,0,0
8,CASH_IN,101488.55,C877981753,3859775.0,3961263.55,C1643855278,9665800.99,9680855.68,0,0
8,CASH_IN,172865.19,C425393935,6652090.2,6824955.39,C1805683209,6259226.34,7428081.5,0,0
8,CASH_OUT,209164.1,C1605531542,0.0,0.0,C875761527,1300764.44,1238942.28,0,0
9,PAYMENT,128.33,C1160984321,21673.0,21544.67,M828095880,0.0,0.0,0,0
9,PAYMENT,5748.52,C527249888,39440.0,33691.48,M1072684413,0.0,0.0,0,0
9,PAYMENT,9766.58,C95439313,497185.15,487418.56,M1413136076,0.0,0.0,0,0
9,PAYMENT,11137.07,C1650703125,0.0,0.0,M2047433132,0.0,0.0,0,0
9,CASH_OUT,36430.38,C1647438919,0.0,0.0,C1819706577,98148.74,134579.13,0,0
9,CASH_OUT,98181.93,C760539036,0.0,0.0,C1766389376,154102.3,160246.04,0,0
9,CASH_OUT,132653.48,C1969858067,0.0,0.0,C1391646952,210044.37,270168.99,0,0
9,CASH_IN,195471.75,C1210477366,6883312.65,7078784.4,C1734719138,2130936.68,2874894.2,0,0
9,CASH_IN,214353.04,C885654589,1690185.06,1904538.1,C711496491,248891.06,351421.93,0,0
9,TRANSFER,263946.04,C1305132090,0.0,0.0,C1374063565,2496593.61,2935507.8,0,0
9,CASH_IN,331743.34,C1274472422,72878.0,404621.34,C91152114,134487.76,0.0,0,0
9,CASH_OUT,406693.65,C1495450640,0.0,0.0,C1568538856,496364.06,984424.07,0,0
9,CASH_OUT,435917.67,C335610666,0.0,0.0,C1767735686,909588.92,1345506.59,0,0
9,CASH_OUT,513625.95,C1611058489,12561.0,0.0,C794358930,17469.41,436980.32,0,0
9,TRANSFER,1337906.92,C476084736,31941.0,0.0,C275925618,0.0,1687482.2,0,0
9,TRANSFER,1667586.88,C2110170498,51573.0,0.0,C530216580,87684.69,1520133.27,0,0
10,PAYMENT,1228.89,C916884937,303312.0,302083.11,M2128929516,0.0,0.0,0,0
10,PAYMENT,3950.45,C1359750083,0.0,0.0,M2117228884,0.0,0.0,0,0
10,CASH_IN,22786.17,C27418457,3288491.36,3311277.54,C1144070975,2501114.96,2364068.61,0,0
10,CASH_OUT,143488.21,C1483097447,0.0,0.0,C1463942959,5615116.14,5758604.36,0,0
10,CASH_OUT,194504.95,C2036852927,0.0,0.0,C1851222027,2412999.78,2607504.73,0,0
10,CASH_IN,306069.37,C954200212,30735.0,336804.37,C877277085,32902.0,0.0,0,0
10,CASH_OUT,377275.45,C1777517449,0.0,0.0,C510508465,2072427.97,2266894.08,0,0
10,TRANSFER,475262.82,C1679629000,0.0,0.0,C333422901,1108102.77,1583365.58,0,0
11,CASH_IN,737.14,C646250679,10386423.56,10387160.7,C807931439,356168.96,786350.58,0,0
11,PAYMENT,7296.85,C1125277969,47410.0,40113.15,M727216011,0.0,0.0,0,0
11,CASH_OUT,20037.82,C412966601,10834.0,0.0,C337958577,1514.0,22524.74,0,0
11,PAYMENT,40689.81,C1664225280,0.0,0.0,M1221593084,0.0,0.0,0,0
11,CASH_IN,108160.31,C413686125,8324377.25,8432537.57,C1176892022,685605.28,577444.97,0,0
11,CASH_IN,168438.56,C2138856389,20240.0,188678.56,C1633172244,593476.83,425038.27,0,0
11,CASH_IN,207149.55,C959259001,4962670.9,5169820.44,C68113386,19623782.68,19416633.13,0,0
11,CASH_IN,208650.8,C772123460,2999400.36,3208051.15,C803330617,599603.73,390952.94,0,0
11,CASH_IN,212419.23,C1130961609,23917.0,236336.23,C2062841350,109283.19,0.0,0,0
11,CASH_OUT,226881.87,C925084569,19646.51,0.0,C1857906618,12250609.99,12477491.86,0,0
11,CASH_OUT,253979.48,C1143276839,10760.0,0.0,C403130913,468545.46,722524.93,0,0
11,CASH_OUT,254494.05,C1404883387,0.0,0.0,C1561140816,464803.65,719297.7,0,0
11,CASH_IN,285632.03,C886783925,52243.71,337875.74,C132676069,0.0,0.0,0,0
11,CASH_IN,370750.43,C1033263501,259.0,371009.43,C1724260087,21220.0,0.0,0,0
11,TRANSFER,1739911.28,C2090401232,7655.0,0.0,C290945720,6826024.09,8565935.38,0,0
12,PAYMENT,541.36,C2115696305,551.0,9.64,M2074906227,0.0,0.0,0,0
12,PAYMENT,7996.9,C1472150101,0.0,0.0,M80609467,0.0,0.0,0,0
12,PAYMENT,9864.06,C241409836,135228.68,125364.61,M1303417528,0.0,0.0,0,0
12,PAYMENT,10131.94,C1887081791,0.0,0.0,M1107333157,0.0,0.0,0,0
12,PAYMENT,10925.58,C1443455937,0.0,0.0,M1642757260,0.0,0.0,0,0
12,PAYMENT,17455.94,C1053203516,11155.0,0.0,M699926009,0.0,0.0,0,0
12,PAYMENT,19096.28,C992645707,492515.5,473419.22,M12350621,0.0,0.0,0,0
12,PAYMENT,20419.19,C845225874,1830.0,0.0,M2029635494,0.0,0.0,0,0
12,CASH_OUT,132408.98,C509884608,75.0,0.0,C1782685082,1389442.35,1521851.34,0,0
12,CASH_OUT,155580.74,C1171618572,0.0,0.0,C535222720,2355440.37,2817763.7,0,0
12,CASH_IN,229149.99,C522478257,12482897.06,12712047.05,C580253253,1350348.22,1121198.23,0,0
12,CASH_OUT,250959.2,C404157518,1106.0,0.0,C1703604917,436.32,251395.53,0,0
12,CASH_OUT,291182.56,C103483511,11149.0,0.0,C4083263,580539.95,871722.51,0,0
12,CASH_OUT,331151.41,C1624970173,0.0,0.0,C1183075634,3150831.4,3724351.33,0,0
12,TRANSFER,547234.29,C235432209,149323.0,0.0,C1634702191,1042369.47,1241994.38,0,0
12,TRANSFER,2531876.22,C614173386,0.0,0.0,C2022767113,2557362.03,5089238.26,0,0
13,PAYMENT,5792.93,C103146240,546442.48,540649.55,M1359357466,0.0,0.0,0,0
13,PAYMENT,9511.4,C1742539508,1038925.49,1029414.09,M1887199613,0.0,0.0,0,0
13,PAYMENT,12559.32,C847685508,624244.24,611684.92,M252797344,0.0,0.0,0,0
13,CASH_IN,20499.11,C621764097,80750.0,101249.11,C753282599,4266059.84,4245560.72,0,0
13,PAYMENT,28227.31,C492984106,42220.0,13992.69,M30548647,0.0,0.0,0,0
13,PAYMENT,28942.73,C1832682152,107987.0,79044.27,M586836738,0.0,0.0,0,0
13,CASH_OUT,138928.17,C566863241,80714.0,0.0,C279784055,208682.28,347610.46,0,0
13,CASH_IN,168683.09,C1772355697,13213090.25,13381773.34,C1009226940,542077.41,373394.32,0,0
13,CASH_IN,210564.12,C1811394203,3906519.34,4117083.46,C2038949354,2749873.18,2663579.28,0,0
13,CASH_IN,282767.32,C365367045,3377755.69,3660523.0,C106155415,2235755.72,2015800.93,0,0
13,CASH_OUT,293509.53,C248691867,0.0,0.0,C739244159,3330243.25,3623752.78,0,0
13,CASH_IN,305312.42,C1618495318,6607728.34,6913040.76,C500123145,538108.1,232795.68,0,0
13,CASH_IN,312910.94,C411933305,47409.0,360319.94,C143810495,0.0,55973.39,0,0
13,CASH_IN,370213.59,C1726076966,7130310.58,7500524.17,C1244869566,832693.42,462479.83,0,0
13,TRANSFER,557714.82,C964916124,0.0,0.0,C164033249,1869856.76,2434146.27,0,0
13,TRANSFER,600908.72,C600937906,1709498.57,1108589.86,C793850902,1484096.89,2085005.61,0,0
14,PAYMENT,963.5,C1856965888,682.0,0.0,M1623068438,0.0,0.0,0,0
14,CASH_OUT,10545.63,C82422778,104563.0,94017.37,C1823661697,0.0,10545.63,0,0
14,CASH_OUT,10840.78,C210299714,240516.0,229675.22,C2143761019,9273.0,20113.78,0,0
14,PAYMENT,17541.6,C884796861,12954.7,0.0,M1690394567,0.0,0.0,0,0
14,CASH_OUT,72053.03,C1482459206,0.0,0.0,C244401300,471628.0,499311.82,0,0
14,CASH_OUT,92474.53,C27701306,719736.04,627261.51,C1958123535,309765.01,126640.88,0,0
14,CASH_OUT,112836.09,C788239591,0.0,0.0,C1124405901,177295.56,189457.33,0,0
14,CASH_IN,127180.01,C86043151,256833.25,384013.26,C1291052452,6687957.5,6676727.62,0,0
14,CASH_OUT,133306.59,C644920390,47601.1,0.0,C1925852722,473913.98,607220.57,0,0
14,CASH_OUT,151318.29,C1859305647,320921.6,169603.31,C1403646239,217676.24,389548.7,0,0
14,CASH_OUT,151805.89,C669258697,5925.0,0.0,C1796835365,0.0,808548.79,0,0
14,TRANSFER,185630.59,C208818014,412454.31,226823.72,C571113365,10615590.76,10524098.22,0,0
14,CASH_IN,186295.61,C368225918,10060.0,196355.61,C1834699516,501758.4,315462.79,0,0
14,CASH_OUT,197626.17,C1710791091,0.0,0.0,C1028574311,10312435.58,11555615.78,0,0
14,CASH_OUT,211944.8,C1177681809,0.0,0.0,C1261329785,612789.09,973178.29,0,0
14,CASH_IN,281978.35,C636995181,9947.0,291925.35,C1238735674,737.0,230390.92,0,0
14,CASH_OUT,337834.39,C923317222,44898.0,0.0,C413243528,2111966.18,2449800.57,0,0
14,CASH_IN,356037.76,C105072403,214.0,356251.76,C358587851,0.0,0.0,0,0
